treated,trump_approval,video_id,vote_pres_2020,vote_pres_2024,democratic_party_fav,republican_party_fav,trump_fav,biden_fav,text,maxdiff_mean,sample_size,partisanship,persuadability_score
0,0,,other_did_not_vote,other_did_not_vote,Very favorable,Somewhat favorable,Very Unfavorable,Somewhat Unfavorable,,,,Independent,0.3389841211499063
0,1,,Republican Donald Trump,Republican Donald Trump,Very unfavorable,Very favorable,Very Favorable,Very Unfavorable,,,,Republican,0.6763168462568101
0,0,,other_did_not_vote,other_did_not_vote,Somewhat unfavorable,Very unfavorable,Not sure/Never Heard of,Somewhat Unfavorable,,,,Independent,0.010820668937286393
0,0,,other_did_not_vote,other_did_not_vote,Somewhat favorable,Very unfavorable,Very Unfavorable,Somewhat Favorable,,,,Democrat,0.9358154942539442
0,0,,Democrat Joe Biden,Democrat Kamala Harris,Somewhat favorable,Very unfavorable,Very Unfavorable,Somewhat Favorable,,,,Democrat,0.00900440294395799
0,0,,Democrat Joe Biden,Democrat Kamala Harris,Somewhat favorable,Very unfavorable,Very Unfavorable,Somewhat Favorable,,,,Democrat,0.4393309109445813
0,0,,Democrat Joe Biden,Democrat Kamala Harris,Somewhat favorable,Very unfavorable,Very Unfavorable,Very Favorable,,,,Democrat,0.5079423044888252
0,1,,Republican Donald Trump,Republican Donald Trump,Somewhat unfavorable,Somewhat favorable,Somewhat Favorable,Very Unfavorable,,,,Republican,0.15185528792221648
0,0,,Democrat Joe Biden,Democrat Kamala Harris,Somewhat favorable,Very unfavorable,Very Unfavorable,Very Favorable,,,,Democrat,0.6167528435344245
0,1,,Republican Donald Trump,Republican Donald Trump,Very unfavorable,Somewhat unfavorable,Somewhat Favorable,Very Unfavorable,,,,Independent,0.742561433222582
0,0,,Democrat Joe Biden,Democrat Kamala Harris,Somewhat favorable,Very unfavorable,Very Unfavorable,Somewhat Favorable,,,,Democrat,0.7895637034557346
0,1,,Democrat Joe Biden,Republican Donald Trump,Somewhat unfavorable,Somewhat favorable,Somewhat Favorable,Somewhat Unfavorable,,,,Democrat,0.019194261493250986
0,0,,Democrat Joe Biden,Democrat Kamala Harris,Very favorable,Very unfavorable,Very Unfavorable,Somewhat Favorable,,,,Democrat,0.12469109194934946
0,0,,Democrat Joe Biden,Democrat Kamala Harris,Somewhat unfavorable,Very unfavorable,Very Unfavorable,Somewhat Favorable,,,,Independent,0.4812672855318211
0,0,,Democrat Joe Biden,Democrat Kamala Harris,Somewhat unfavorable,Very unfavorable,Very Unfavorable,Very Favorable,,,,Independent,0.20192248017987002
0,1,,Republican Donald Trump,Republican Donald Trump,Very unfavorable,Very favorable,Very Favorable,Very Unfavorable,,,,Republican,0.13937515304038117
0,0,,Democrat Joe Biden,Democrat Kamala Harris,Somewhat favorable,Somewhat unfavorable,Somewhat Unfavorable,Somewhat Favorable,,,,Democrat,0.555307460660214
0,1,,Republican Donald Trump,other_did_not_vote,Very unfavorable,Very favorable,Very Favorable,Very Unfavorable,,,,Republican,0.44814150468705427
0,1,,other_did_not_vote,Republican Donald Trump,Somewhat unfavorable,Somewhat favorable,Somewhat Favorable,Somewhat Unfavorable,,,,Independent,0.9256355331445886
0,0,,Democrat Joe Biden,Democrat Kamala Harris,Very favorable,Very unfavorable,Very Unfavorable,Very Favorable,,,,Democrat,0.14080294896787926
0,0,,other_did_not_vote,other_did_not_vote,Somewhat favorable,Very unfavorable,Very Unfavorable,Somewhat Favorable,,,,Democrat,0.7086554026984933
0,0,,Democrat Joe Biden,Democrat Kamala Harris,Very favorable,Very unfavorable,Very Unfavorable,Very Favorable,,,,Democrat,0.36710145172382447
0,1,,Republican Donald Trump,Republican Donald Trump,Very unfavorable,Very favorable,Very Favorable,Very Unfavorable,,,,Republican,0.4380689490171956
0,0,,Democrat Joe Biden,Democrat Kamala Harris,Somewhat favorable,Very unfavorable,Very Unfavorable,Very Favorable,,,,Democrat,0.3059295140514944
0,0,,Democrat Joe Biden,Democrat Kamala Harris,Somewhat favorable,Very unfavorable,Very Unfavorable,Somewhat Favorable,,,,Independent,0.7072986649981944
0,1,,Republican Donald Trump,other_did_not_vote,Somewhat favorable,Somewhat favorable,Somewhat Favorable,Somewhat Unfavorable,,,,Republican,0.4088438115415155
0,0,,other_did_not_vote,other_did_not_vote,Somewhat favorable,Somewhat unfavorable,Very Unfavorable,Somewhat Favorable,,,,Independent,0.3901048790715883
0,0,,Republican Donald Trump,Republican Donald Trump,Somewhat unfavorable,Somewhat unfavorable,Somewhat Favorable,Somewhat Unfavorable,,,,Republican,0.6383182389339159
0,0,,Republican Donald Trump,other_did_not_vote,Very favorable,Very unfavorable,Very Unfavorable,Very Unfavorable,,,,Democrat,0.2601904922014947
0,0,,Republican Donald Trump,other_did_not_vote,Somewhat unfavorable,Somewhat unfavorable,Very Unfavorable,Very Unfavorable,,,,Independent,0.0631337102351126
0,1,,Republican Donald Trump,Republican Donald Trump,Very unfavorable,Very favorable,Very Favorable,Very Unfavorable,,,,Republican,0.6206004171986759
0,1,,Republican Donald Trump,Republican Donald Trump,Somewhat unfavorable,Somewhat favorable,Somewhat Favorable,Somewhat Unfavorable,,,,Independent,0.10622572125626573
0,0,,Democrat Joe Biden,Democrat Kamala Harris,Somewhat favorable,Very unfavorable,Very Unfavorable,Very Favorable,,,,Independent,0.6814534121306473
0,1,,other_did_not_vote,other_did_not_vote,Very unfavorable,Very unfavorable,Somewhat Favorable,Very Unfavorable,,,,Republican,0.7371072541289555
0,0,,Democrat Joe Biden,Democrat Kamala Harris,Somewhat favorable,Somewhat unfavorable,Very Unfavorable,Somewhat Favorable,,,,Democrat,0.960146387755714
0,1,,Republican Donald Trump,Republican Donald Trump,Somewhat favorable,Somewhat favorable,Very Favorable,Very Unfavorable,,,,Republican,0.36167097302959683
0,1,,Republican Donald Trump,Republican Donald Trump,Very unfavorable,Very favorable,Very Favorable,Very Unfavorable,,,,Republican,0.7349974863211094
0,0,,Democrat Joe Biden,Republican Donald Trump,Somewhat unfavorable,Somewhat unfavorable,Somewhat Unfavorable,Very Unfavorable,,,,Independent,0.8427725301504116
0,0,,other_did_not_vote,other_did_not_vote,Somewhat favorable,Somewhat favorable,Very Unfavorable,Somewhat Favorable,,,,Independent,0.44792358980321867
0,0,,other_did_not_vote,other_did_not_vote,Somewhat unfavorable,Somewhat unfavorable,Somewhat Unfavorable,Very Unfavorable,,,,Independent,0.8318411813077824
0,1,,Democrat Joe Biden,Democrat Kamala Harris,Somewhat unfavorable,Very unfavorable,Very Unfavorable,Very Favorable,,,,Democrat,0.3618580775327901
0,0,,other_did_not_vote,other_did_not_vote,Very favorable,Somewhat unfavorable,Somewhat Unfavorable,Somewhat Favorable,,,,Democrat,0.27058847738791747
0,0,,Democrat Joe Biden,Republican Donald Trump,Somewhat unfavorable,Somewhat unfavorable,Somewhat Favorable,Somewhat Unfavorable,,,,Independent,0.37142776106597997
0,0,,other_did_not_vote,other_did_not_vote,Somewhat unfavorable,Somewhat unfavorable,Somewhat Unfavorable,Somewhat Unfavorable,,,,Independent,0.932055122226608
0,1,,Republican Donald Trump,Republican Donald Trump,Very unfavorable,Somewhat favorable,Somewhat Favorable,Very Unfavorable,,,,Republican,0.29430559749286866
0,1,,Republican Donald Trump,Republican Donald Trump,Very unfavorable,Somewhat favorable,Very Favorable,Very Unfavorable,,,,Republican,0.26282541156930495
0,0,,Democrat Joe Biden,Democrat Kamala Harris,Somewhat favorable,Somewhat unfavorable,Very Unfavorable,Somewhat Favorable,,,,Democrat,0.9848102346771731
0,0,,Democrat Joe Biden,Democrat Kamala Harris,Somewhat unfavorable,Somewhat unfavorable,Very Unfavorable,Somewhat Favorable,,,,Independent,0.478365531427524
0,1,,Republican Donald Trump,Republican Donald Trump,Very unfavorable,Somewhat favorable,Somewhat Unfavorable,Very Unfavorable,,,,Republican,0.18049471416785345
0,1,,Republican Donald Trump,Republican Donald Trump,Very unfavorable,Somewhat unfavorable,Somewhat Favorable,Very Unfavorable,,,,Republican,0.14594502392026432
0,1,,Republican Donald Trump,Republican Donald Trump,Very unfavorable,Very favorable,Very Favorable,Very Unfavorable,,,,Republican,0.37940989463205077
0,1,,Republican Donald Trump,Republican Donald Trump,Never heard of/Not sure,Very favorable,Very Favorable,Very Unfavorable,,,,Republican,0.893094679929238
0,1,,Republican Donald Trump,other_did_not_vote,Never heard of/Not sure,Never heard of/Not sure,Very Unfavorable,Not sure/Never Heard of,,,,Independent,0.033597756176625526
0,0,,Democrat Joe Biden,Democrat Kamala Harris,Somewhat favorable,Somewhat unfavorable,Very Unfavorable,Somewhat Favorable,,,,Independent,0.7643135966135721
0,0,,other_did_not_vote,other_did_not_vote,Somewhat favorable,Somewhat unfavorable,Somewhat Unfavorable,Somewhat Favorable,,,,Democrat,0.12722055497075446
0,1,,Republican Donald Trump,Republican Donald Trump,Somewhat unfavorable,Somewhat favorable,Somewhat Favorable,Very Unfavorable,,,,Republican,0.9947692541184283
0,1,,Republican Donald Trump,Republican Donald Trump,Very unfavorable,Very favorable,Very Favorable,Very Unfavorable,,,,Republican,0.09545291995757055
0,1,,Republican Donald Trump,Republican Donald Trump,Very unfavorable,Very favorable,Very Favorable,Very Unfavorable,,,,Republican,0.9577250703346927
0,0,,other_did_not_vote,Democrat Kamala Harris,Somewhat favorable,Somewhat unfavorable,Very Unfavorable,Somewhat Favorable,,,,Democrat,0.24398734408392375
0,1,,Republican Donald Trump,Republican Donald Trump,Never heard of/Not sure,Never heard of/Not sure,Very Favorable,Very Unfavorable,,,,Independent,0.21486262023506297
0,0,,Democrat Joe Biden,Democrat Kamala Harris,Somewhat favorable,Somewhat unfavorable,Very Unfavorable,Somewhat Favorable,,,,Democrat,0.7573742512515665
0,1,,Republican Donald Trump,Republican Donald Trump,Very unfavorable,Very favorable,Very Favorable,Very Unfavorable,,,,Republican,0.03292569735837081
0,0,,Republican Donald Trump,other_did_not_vote,Somewhat unfavorable,Somewhat unfavorable,Somewhat Unfavorable,Somewhat Unfavorable,,,,Independent,0.677469880593798
0,1,,other_did_not_vote,other_did_not_vote,Somewhat unfavorable,Somewhat unfavorable,Somewhat Favorable,Somewhat Unfavorable,,,,Independent,0.7174809520204893
0,1,,Republican Donald Trump,Republican Donald Trump,Somewhat unfavorable,Very favorable,Very Favorable,Very Unfavorable,,,,Republican,0.8414369588906547
